Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0092/PO/CD/VII/2023/CIC/CIE;Pinus Design - Cikarang;25-07-2023;16-08-2023;30021;BUKU FORM;"Uk. A4, 2 ply (putih, hijau)";"35,00";"35,00";25000;"875.000,00";Finish;0%;ALAT TULIS KANTOR;5 Hari;22 Hari
0093/PO/CD/V/2023/CIC/CI;Pinus Design - Cikarang;31-05-2023;07-06-2023;31839;STIKER NAMA KARYAWAN;"Bahan: Chromo, Cutting stiker, a.n Puput";"20,00";"20,00";9000;"180.000,00";Finish;0%;RUPA - RUPA;1 Hari;7 Hari
0093/PO/CD/V/2023/CIC/CI;Pinus Design - Cikarang;31-05-2023;07-06-2023;31839;STIKER NAMA KARYAWAN;"Bahan: Chromo, Cutting stiker, a.n Mae";"20,00";"20,00";9000;"180.000,00";Finish;0%;RUPA - RUPA;1 Hari;7 Hari
0093/PO/CD/V/2023/CIC/CI;Pinus Design - Cikarang;31-05-2023;07-06-2023;31839;STIKER NAMA KARYAWAN;"Bahan: Chromo, Cutting stiker, a.n Jelisia";"20,00";"20,00";9000;"180.000,00";Finish;0%;RUPA - RUPA;1 Hari;7 Hari
0093/PO/CD/VII/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;25-07-2023;;30966;LAMPU SOROT;"1 set RGB, solar cell,  100 watt";"4,00";;650000;"2.600.000,00";Dalam Proses;0%;LISTRIK;5 Hari;
0094/PO/CD/VI/2023/CIC/CI;TOHI - BOGOR;07-06-2023;07-06-2023;31043;BAMBU;-;"50,00";"50,00";12000;"600.000,00";Finish;0%;MATERIAL KONSTRUKSI;5 Hari;0 Hari
0094/PO/CD/VIII/2023/CIC/CIE;RUBBY KUSUMAH - BOGOR;07-08-2023;16-08-2023;31054;BATU MACADAM / MAKADAM;-;"7,00";"7,00";300000;"2.100.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;9 Hari
0095/PO/CD/VI/2023/CIC/CI;CV. Andora Ropitama - Jakarta;13-06-2023;15-06-2023;30867;ACCU / AKI;Accu GS PREMIUM 115F51 N120 + air;"2,00";"2,00";2100000;"4.200.000,00";Finish;0%;LISTRIK;0 Hari;2 Hari
0095/PO/CD/VIII/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;07-08-2023;18-08-2023;30713;MOUSE;Tipe B-100;"1,00";"1,00";55000;"55.000,00";Finish;0%;KOMPUTER;1 Hari;11 Hari
0096/PO/CD/VI/2023/CIC/CI;Toko Buku Gunung Intan - Jonggol;15-06-2023;04-07-2023;30120;STAPLES KERTAS;Uk. HD-10;"1,00";"1,00";15000;"15.000,00";Finish;0%;ALAT TULIS KANTOR;0 Hari;19 Hari
0096/PO/CD/VIII/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;11-08-2023;;30957;LAMPU;"100 watt, IP 65, 6500K, Solar Panel";"4,00";;352000;"1.408.000,00";Dalam Proses;0%;LISTRIK;0 Hari;
0097/PO/CD/VI/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;15-06-2023;05-07-2023;30713;MOUSE;Logitech M170;"1,00";"1,00";120000;"120.000,00";Finish;0%;KOMPUTER;0 Hari;20 Hari
0097/PO/CD/VIII/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;15-08-2023;24-08-2023;30663;KABEL USB;Panjang 3 meter;"2,00";"2,00";35000;"70.000,00";Finish;0%;KOMPUTER;5 Hari;9 Hari
0098/PO/CD/VI/2023/CIC/CI;Toko Buku Gunung Intan - Jonggol;15-06-2023;04-07-2023;30079;ORDNER - ODNER;Tipe 717;"4,00";"4,00";355000;"1.420.000,00";Finish;0%;ALAT TULIS KANTOR;0 Hari;19 Hari
0098/PO/CD/VIII/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;15-08-2023;23-08-2023;30813;PRINT SERVER;USB 2.0 Auto Sharing Switch;"1,00";"1,00";85000;"85.000,00";Finish;0%;KOMPUTER;5 Hari;8 Hari
0099/PO/CD/VI/2023/CIC/CI;Toko Buku Gunung Intan - Jonggol;15-06-2023;04-07-2023;30079;ORDNER - ODNER;"Uk : A5, Warna: hitam, Tipe: 777";"20,00";"20,00";350000;"7.000.000,00";Finish;0%;ALAT TULIS KANTOR;0 Hari;19 Hari
0099/PO/CD/VIII/2023/CIC/CIE;RUBBY KUSUMAH - BOGOR;15-08-2023;31-08-2023;31054;BATU MACADAM / MAKADAM;-;"6,00";"6,00";300000;"1.800.000,00";Finish;0%;MATERIAL KONSTRUKSI;2 Hari;16 Hari
0100/PO/CD/VI/2023/CIC/CI;Pinus Design - Cikarang;15-06-2023;;30123;STEMPEL;"Stampel otomatis, tinta biru, a.n Yosua";"1,00";;64500;"64.500,00";Dalam Proses;0%;ALAT TULIS KANTOR;1 Hari;
0100/PO/CD/VI/2023/CIC/CI;Pinus Design - Cikarang;15-06-2023;;31839;STIKER NAMA KARYAWAN;"Bahan: Chromo, Cutting stiker, a.n Yosua";"20,00";;9000;"180.000,00";Dalam Proses;0%;RUPA - RUPA;1 Hari;
0100/PO/CD/VIII/2023/CIC/CIE;Desti Advertising - Bekasi;15-08-2023;;30510;BENDERA NEGARA;"Bendera merah putih rumbai, Uk. 4 meter";"1,00";;350000;"350.000,00";Dalam Proses;0%;KARYA SENI - PENGHARGAAN -SIMBOL;2 Hari;
0100/PO/CD/VIII/2023/CIC/CIE;Desti Advertising - Bekasi;15-08-2023;;30510;BENDERA NEGARA;"Umbul2 merah putih, Uk. 2,65x0,5 meter";"20,00";;52000;"1.040.000,00";Dalam Proses;0%;KARYA SENI - PENGHARGAAN -SIMBOL;2 Hari;
0101/PO/CD/VI/2023/CIC/CI;Alvin Azizi - Tangerang;15-06-2023;;31388;SPANDUK;"Bahan: Polyester, Uk. 1,15x8meter, materi: Rumah 2 KT Bukit Meranti";"100,00";;68000;"6.800.000,00";Dalam Proses;0%;MEDIA INFORMASI;1 Hari;
0101/PO/CD/VIII/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;23-08-2023;;30656;KABEL JARINGAN;USB 3.0;"1,00";;55000;"55.000,00";Dalam Proses;0%;KOMPUTER;5 Hari;
0102/PO/CD/IX/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;05-09-2023;;30956;CHIP LED;"Warna Putih, 30 Watt";"50,00";;50000;"2.500.000,00";Dalam Proses;0%;LISTRIK;8 Hari;
0102/PO/CD/IX/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;05-09-2023;;30922;DRIVER LAMPU LED;"Warna Putih, 30 Watt, 900 MA";"50,00";;55000;"2.750.000,00";Dalam Proses;0%;LISTRIK;8 Hari;
0102/PO/CD/VI/2023/CIC/CI;Pinus Design - Cikarang;15-06-2023;07-09-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Bahan: acrylic hitam, 20x20 cm, cutting sticker";"1,00";"1,00";32000;"32.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;84 Hari
0103/PO/CD/IX/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;09-09-2023;14-09-2023;30871;POWER SUPPLY;"Rainproof, DC 12V, 600w";"2,00";"2,00";400000;"800.000,00";Finish;0%;LISTRIK;1 Hari;5 Hari
0103/PO/CD/VI/2023/CIC/CI;Immanuel Offset Printing - Jakarta;15-06-2023;05-07-2023;30364;TAS HADIAH;"Bahan : D600, warna : kombinasi abu2 & hitam, sablon";"700,00";"700,00";12600;"8.820.000,00";Finish;0%;FASHION;0 Hari;20 Hari
0104/PO/CD/IX/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;09-09-2023;14-09-2023;30871;POWER SUPPLY;"Rainproof, DC 12V, 600w";"1,00";"1,00";400000;"400.000,00";Finish;0%;LISTRIK;4 Hari;5 Hari
0104/PO/CD/VI/2023/CIC/CI;Pinus Design - Cikarang;15-06-2023;07-09-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Bahan: acrylic hitam, 20x20 cm, cutting sticker";"2,00";"2,00";32000;"64.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;84 Hari
0105/PO/CD/IX/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;09-09-2023;29-09-2023;30957;LAMPU;"10 Watt, warna putih";"10,00";"10,00";45000;"450.000,00";Finish;0%;LISTRIK;4 Hari;20 Hari
0105/PO/CD/VII/2023/CIC/CI;FEBI DAMAYANTHI -  JAKARTA;02-07-2023;27-07-2023;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 41";"1,00";"1,00";445000;"445.000,00";Finish;0%;FASHION;6 Hari;25 Hari
0106/PO/CD/IX/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;10-09-2023;;30919;BALLAST;Ballast lampu TL 36 Watt;"5,00";;75000;"375.000,00";Dalam Proses;0%;LISTRIK;2 Hari;
0106/PO/CD/VII/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;02-07-2023;07-07-2023;30810;PITA / TINTA/ TONER PRINTER;"Tipe 30 A, Warna: Hitam";"5,00";"5,00";195000;"975.000,00";Finish;0%;KOMPUTER;6 Hari;5 Hari
0107/PO/CD/IX/2023/CIC/CIE;TOKO GS;10-09-2023;;31032;LEM;Lem tetes/ cair;"10,00";;8000;"80.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;2 Hari;
0107/PO/CD/VII/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;07-07-2023;07-08-2023;31370;BILLBOARD;"Bahan: flexi, Materi ""Rumah 2 Kamar"", Lokasi: Depan MO,  Uk: 10x7m";"1,00";"1,00";2075000;"2.075.000,00";Finish;0%;MEDIA INFORMASI;2 Hari;31 Hari
0107/PO/CD/VII/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;07-07-2023;07-08-2023;31370;BILLBOARD;"Bahan: flexi, Materi ""Rumah 2 Kamar"", Lokasi: Underpass hadap Utara,  Uk: 17.5x2.5m";"1,00";"1,00";1484375;"1.484.375,00";Finish;0%;MEDIA INFORMASI;2 Hari;31 Hari
0108/PO/CD/IX/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;10-09-2023;25-09-2023;30957;LAMPU;"19 Watt, warna putih";"60,00";"60,00";77500;"4.650.000,00";Finish;0%;LISTRIK;2 Hari;15 Hari
0108/PO/CD/VII/2023/CIC/CI;Pinus Design - Cikarang;14-07-2023;07-09-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Bahan: acrylic hitam, 20x20 cm, cutting sticker";"1,00";"1,00";32000;"32.000,00";Finish;0%;MEDIA INFORMASI;3 Hari;55 Hari
0109/PO/CD/IX/2023/CIC/CIE;BAKTI PERCETAKAN - JAKARTA;15-09-2023;22-09-2023;31836;STIKER INFORMASI;"bahan : Vynil, warna : biru metalik, tulisan warna putih";"7000,00";"7000,00";2000;"14.000.000,00";Finish;0%;RUPA - RUPA;1 Hari;7 Hari
0109/PO/CD/VII/2023/CIC/CI;ABDUL ROHMAN - BOGOR;14-07-2023;21-07-2023;30454;KACA MEJA;"Uk. 160x70cm, tebal 6mm, warna hitam";"5,00";"5,00";320000;"1.600.000,00";Finish;0%;FURNITURE - DEKORASI;2 Hari;7 Hari
0110/PO/CD/IX/2023/CIC/CIE;TOKO GS;22-09-2023;;31032;LEM;Kemasan kaleng 400gr;"2,00";;60000;"120.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;2 Hari;
0110/PO/CD/IX/2023/CIC/CIE;TOKO GS;22-09-2023;;31032;LEM;Lem padat epoxy;"4,00";;15000;"60.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;2 Hari;
0110/PO/CD/VII/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;17-07-2023;07-08-2023;30810;PITA / TINTA/ TONER PRINTER;TN 2356;"20,00";"20,00";185000;"3.700.000,00";Finish;0%;KOMPUTER;3 Hari;21 Hari
0111/PO/CD/IX/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;22-09-2023;16-10-2023;30957;LAMPU;Bohlam lampu LED 19 watt Merk PHILIPS;"3,00";"3,00";77500;"232.500,00";Finish;0%;LISTRIK;1 Hari;24 Hari
0111/PO/CD/VII/2023/CIC/CI;Global Mitra Proteksindo - Jakarta;25-07-2023;16-08-2023;31605;REFILL APAR;"Powder, 6 Kg";"1,00";"1,00";270000;"270.000,00";Finish;0%;PERALATAN KEAMANAN;5 Hari;22 Hari
0111/PO/CD/VII/2023/CIC/CI;Global Mitra Proteksindo - Jakarta;25-07-2023;16-08-2023;31605;REFILL APAR;Powder 20 Kg;"1,00";"1,00";900000;"900.000,00";Finish;0%;PERALATAN KEAMANAN;5 Hari;22 Hari
0111/PO/CD/VII/2023/CIC/CI;Global Mitra Proteksindo - Jakarta;25-07-2023;16-08-2023;31605;REFILL APAR;"Powder, 3.5 Kg";"4,00";"4,00";157500;"630.000,00";Finish;0%;PERALATAN KEAMANAN;5 Hari;22 Hari
0112/PO/CD/IX/2023/CIC/CIE;TOKO GS;30-09-2023;;31035;LEM SEALANT;"Kemasan : 300 ml, kering sentuh: +/-60 menit. tahan terhadap suhu : - 40 s/ d 90 Celcius. kuat tarik : 1,8 N/ mm, kuat sobek : 6,0 N/ mm";"3,00";;79500;"238.500,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;4 Hari;
0112/PO/CD/VII/2023/CIC/CI;ADIKARYA INTISOLUSI PT;25-07-2023;07-08-2023;30799;CARTRIDGE PRINTER;"Print head Epson L1300 A3 - 1 set black & colour, Reset mainboard printer";"1,00";"1,00";4009009;"4.009.009,00";Finish;0%;KOMPUTER;5 Hari;13 Hari
0113/PO/CD/VIII/2023/CIC/CI;Pinus Design - Cikarang;07-08-2023;07-09-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Dasar acrylic hitam, Font cutting sticker gold, Uk. 20x20cm";"4,00";"4,00";32000;"128.000,00";Finish;0%;MEDIA INFORMASI;6 Hari;31 Hari
0113/PO/CD/X/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;03-10-2023;17-10-2023;30908;KABEL NYY;"Kabel NYY Uk. 2 x 1.5, 50 meter/ roll";"1,00";"1,00";625000;"625.000,00";Finish;0%;LISTRIK;1 Hari;14 Hari
0114/PO/CD/VIII/2023/CIC/CI;Aan Rubiatman - Jakarta;07-08-2023;01-10-2023;31723;TRIPOD ALAT UKUR;Effective diameter: 62.5mm. Offset: -30mm/0mm. Grey metal adapter & tribrach.;"2,00";"2,00";3400000;"6.800.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;4 Hari;55 Hari
0114/PO/CD/X/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;03-10-2023;10-10-2023;32031;LAMPU TL;"Lampu TL LED, 16 Watt, warna putih";"5,00";"5,00";87500;"437.500,00";Finish;0%;LISTRIK;1 Hari;7 Hari
0115/PO/CD/VIII/2023/CIC/CI;Pinus Design - Cikarang;07-08-2023;25-08-2023;31839;STIKER NAMA KARYAWAN;"Bahan Chromo, cutting sticker, a.n Dodi Dores";"20,00";"20,00";9000;"180.000,00";Finish;0%;RUPA - RUPA;1 Hari;18 Hari
0115/PO/CD/X/2023/CIC/CIE;FEBI DAMAYANTHI -  JAKARTA;13-10-2023;03-11-2023;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 40";"1,00";"1,00";470000;"470.000,00";Finish;0%;FASHION;3 Hari;21 Hari
0116/PO/CD/VIII/2023/CIC/CI;Big Thumb - Jakarta;07-08-2023;09-09-2023;31379;BROSUR;"Lipat 3, Bahan: AC 210gsm, Laminating doft, Die cut";"2500,00";"2500,00";5000;"12.500.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;33 Hari
0116/PO/CD/X/2023/CIC/CIE;TOKO GS;13-10-2023;16-10-2023;31152;ISOLASI;-;"3,00";"3,00";10000;"30.000,00";Finish;0%;MATERIAL KONSTRUKSI;3 Hari;3 Hari
0116/PO/CD/X/2023/CIC/CIE;TOKO GS;13-10-2023;16-10-2023;31871;JET WASHER / SHOWER SPRAY;"Water Tec, 1/2 inch";"3,00";"3,00";35000;"105.000,00";Finish;0%;SANITAIR DAN KAMAR MANDI;3 Hari;3 Hari
0116/PO/CD/X/2023/CIC/CIE;TOKO GS;13-10-2023;16-10-2023;30061;SOLATIP - ISOLASI BENING;Start Tape;"5,00";"5,00";15000;"75.000,00";Finish;0%;ALAT TULIS KANTOR;3 Hari;3 Hari
0117/PO/CD/VIII/2023/CIC/CI;Alvin Azizi - Tangerang;07-08-2023;02-09-2023;30514;UMBUL UMBUL;"Bahan polyester, Uk : 1,15 x 5 meter, Materi : Meranti";"50,00";"50,00";42500;"2.125.000,00";Finish;0%;KARYA SENI - PENGHARGAAN -SIMBOL;1 Hari;26 Hari
0117/PO/CD/VIII/2023/CIC/CI;Alvin Azizi - Tangerang;07-08-2023;02-09-2023;30514;UMBUL UMBUL;"Bahan polyester, Uk : 1,15 x 5 meter, Materi : logo CI - Biru";"50,00";"50,00";42500;"2.125.000,00";Finish;0%;KARYA SENI - PENGHARGAAN -SIMBOL;1 Hari;26 Hari
0117/PO/CD/VIII/2023/CIC/CI;Alvin Azizi - Tangerang;07-08-2023;02-09-2023;30514;UMBUL UMBUL;"Bahan polyester, Uk : 1,15 x 5 meter, Materi : logo CI - Merah";"50,00";"50,00";42500;"2.125.000,00";Finish;0%;KARYA SENI - PENGHARGAAN -SIMBOL;1 Hari;26 Hari
0117/PO/CD/X/2023/CIC/CIE;TOKO GS;13-10-2023;16-10-2023;30366;KAP LAMPU;Bahan PVC;"3,00";"3,00";55000;"165.000,00";Finish;0%;FURNITURE - DEKORASI;3 Hari;3 Hari
0118/PO/CD/VIII/2023/CIC/CI;CV. Sanjaya - Bekasi;07-08-2023;19-08-2023;31379;BROSUR;"Pricelist, Cetak 1 muka, A4 80gr, cetak hitam putih";"2500,00";"2500,00";150;"375.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;12 Hari
0118/PO/CD/X/2023/CIC/CIE;TOKO GS;17-10-2023;20-10-2023;30889;STOP KONTAK;2 Lubang;"3,00";"3,00";35000;"105.000,00";Finish;0%;LISTRIK;6 Hari;3 Hari
0119/PO/CD/VIII/2023/CIC/CI;TOKO NATASHA - BOGOR;07-08-2023;31-08-2023;30977;AIR MINERAL;"Kemasan botol, 350ml";"20,00";"20,00";40000;"800.000,00";Finish;0%;MAKANAN DAN MINUMAN;4 Hari;24 Hari
0119/PO/CD/X/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;17-10-2023;17-10-2023;30966;LAMPU SOROT;"LED, 50 watt, warna warm white";"14,00";"14,00";175000;"2.450.000,00";Finish;0%;LISTRIK;4 Hari;0 Hari
0120/PO/CD/VIII/2023/CIC/CI;Toko Buku Gunung Intan - Jonggol;10-08-2023;26-08-2023;30040;KERTAS A4;"Kertas A4 75, warna putih";"75,00";"75,00";45000;"3.375.000,00";Finish;0%;ALAT TULIS KANTOR;1 Hari;16 Hari
0120/PO/CD/X/2023/CIC/CIE;FEBI DAMAYANTHI -  JAKARTA;17-10-2023;;30335;BAJU ROMPI;"Warna: Merah, Uk: M, Logo bendera merah putih & logo K3";"1,00";;185000;"185.000,00";Dalam Proses;0%;FASHION;4 Hari;
0121/PO/CD/VIII/2023/CIC/CI;Alvin Azizi - Tangerang;10-08-2023;18-08-2023;31388;SPANDUK;"Uk. 8x1,15meter, materi: 181JUTA";"100,00";"100,00";68000;"6.800.000,00";Finish;0%;MEDIA INFORMASI;3 Hari;8 Hari
0121/PO/CD/X/2023/CIC/CIE;FEBI DAMAYANTHI -  JAKARTA;24-10-2023;;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 44";"1,00";;470000;"470.000,00";Dalam Proses;0%;FASHION;1 Hari;
0122/PO/CD/VIII/2023/CIC/CI;Toko Buku Gunung Intan - Jonggol;10-08-2023;26-08-2023;30039;KERTAS A3;KERTAS A3 70;"20,00";"20,00";117500;"2.350.000,00";Finish;0%;ALAT TULIS KANTOR;1 Hari;16 Hari
0122/PO/CD/X/2023/CIC/CIE;BAKTI PERCETAKAN - JAKARTA;24-10-2023;08-11-2023;30040;KERTAS A4;"Warna putih, 75gram";"15,00";"15,00";45000;"675.000,00";Finish;0%;ALAT TULIS KANTOR;1 Hari;15 Hari
0123/PO/CD/VIII/2023/CIC/CI;Ace Hardware - Cibubur;24-08-2023;;30574;TEMPAT SAMPAH;"Material: plastik, Tutup ayun, Kapasitas: 15 L";"4,00";;125910;"503.640,00";Dalam Proses;0%;KEBERSIHAN;2 Hari;
0123/PO/CD/VIII/2023/CIC/CI;Ace Hardware - Cibubur;24-08-2023;;30574;TEMPAT SAMPAH;"Material : plastik, kapasitas : 50 liter, tutup: swing";"4,00";;369900;"1.479.600,00";Dalam Proses;0%;KEBERSIHAN;2 Hari;
0123/PO/CD/XI/2023/CIC/CIE;PT. PLATBOARD LUTDESINDO;03-11-2023;08-11-2023;31388;SPANDUK;"Bahan flexi, Uk. 6x3 meter, materi: dilarang membakar sampah (ilegal)";"2,00";"2,00";405000;"810.000,00";Finish;0%;MEDIA INFORMASI;3 Hari;5 Hari
0124/PO/CD/VIII/2023/CIC/CI;PT. RISTY PRATAMINDO - JAKARTA;24-08-2023;13-11-2023;31912;FLOWMETER;"Merk ABB, tipe: remote, power : battery, cable 10 mater, proterksi sensor & display IP68, Instalasi : up & down stream 0xD, size code : 0100 - 100mm (4inch). Harga sudah termasuk biaya Tera dan penerbitan sertifikat Tera oleh dinas metrology terkait.";"1,00";"1,00";86700000;"86.700.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;8 Hari;81 Hari
0124/PO/CD/XI/2023/CIC/CIE;CREATIVE SOLUTION - JAKARTA;07-11-2023;24-11-2023;30053;KERTAS THERMAL;Uk. 80x80;"150,00";"150,00";13300;"1.995.000,00";Finish;0%;ALAT TULIS KANTOR;0 Hari;17 Hari
0125/PO/CD/VIII/2023/CIC/CI;TOKO GS;28-08-2023;;31095;CAT SEMPROT;PYLOX;"2,00";;33000;"66.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;0 Hari;
0125/PO/CD/XI/2023/CIC/CIE;PT. PLATBOARD LUTDESINDO;20-11-2023;29-11-2023;30512;BENDERA PROYEK;"Bahan satin, Uk. 3x2 meter, dasar putih, digital print logo Ciputra";"9,00";"9,00";390000;"3.510.000,00";Finish;0%;KARYA SENI - PENGHARGAAN -SIMBOL;4 Hari;9 Hari
0126/PO/CD/IX/2023/CIC/CI;FEBI DAMAYANTHI -  JAKARTA;05-09-2023;;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 42";"1,00";;470000;"470.000,00";Dalam Proses;0%;FASHION;0 Hari;
0126/PO/CD/XI/2023/CIC/CIE;BELIKI - TOKOPEDIA;20-11-2023;26-12-2023;30956;CHIP LED;"30 watt, warna putih";"50,00";"50,00";19900;"995.000,00";Finish;0%;LISTRIK;4 Hari;36 Hari
0127/PO/CD/IX/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;09-09-2023;26-09-2023;31507;DISPENSER GALON;"Tipe HWD 535-IC, galon bawah";"1,00";"1,00";1575000;"1.575.000,00";Finish;0%;PERALATAN DAPUR;1 Hari;17 Hari
0127/PO/CD/XI/2023/CIC/CIE;Toko Pasific Elektronik -  Jonggol;20-11-2023;20-12-2023;30810;PITA / TINTA/ TONER PRINTER;"Compatible, 107A, Warna: Hitam";"30,00";"30,00";240000;"7.200.000,00";Finish;0%;KOMPUTER;5 Hari;30 Hari
0128/PO/CD/IX/2023/CIC/CI;PT. Mandiri Jaya Perkasa Utama - Jakarta;09-09-2023;27-09-2023;30235;BBM SOLAR;Solar industri (B35);"500,00";"500,00";24324;"12.162.000,00";Finish;0%;CHEMICAL;12 Hari;18 Hari
0128/PO/CD/XI/2023/CIC/CIE;BAKTI PERCETAKAN - JAKARTA;20-11-2023;21-12-2023;30046;KERTAS HVS;"A4, 75gr, warna putih";"30,00";"30,00";45000;"1.350.000,00";Finish;0%;ALAT TULIS KANTOR;6 Hari;31 Hari
0129/PO/CD/IX/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;10-09-2023;29-09-2023;31458;AC SPLIT WALL;"Tipe 05AHQ, 1/2 PK";"6,00";"6,00";2300000;"13.800.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;2 Hari;19 Hari
0129/PO/CD/XI/2023/CIC/CIE;DUNIA PERAHU - JAKARTA;28-11-2023;08-12-2023;31303;VALVE;Tutup pentil ban racer slide  bahan plastik warna bening;"5,00";"5,00";150000;"750.000,00";Finish;0%;MECHANICAL;1 Hari;10 Hari
0130/PO/CD/IX/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;10-09-2023;;30636;LASER POINTER;"Jangkauan: up to 30mtr, pointer : sorot & perbesar, baterai: 85mAh, koneksi: bluetooth & 2.4GHz wireless";"1,00";;1530000;"1.530.000,00";Dalam Proses;0%;KOMPUTER;2 Hari;
0130/PO/CD/XI/2023/CIC/CIE;TOKO GS;28-11-2023;;30913;KABEL TIE / TIES;Kabel twist;"150,00";;6500;"975.000,00";Dalam Proses;0%;LISTRIK;1 Hari;
0131/PO/CD/IX/2023/CIC/CI;Pinus Design - Cikarang;10-09-2023;;31398;NOMOR RUMAH / RUKO / TOKO;"Dasar acrylic hitam, Font cutting sticker gold, Uk. 20x20cm";"42,00";;32000;"1.344.000,00";Dalam Proses;0%;MEDIA INFORMASI;2 Hari;
0131/PO/CD/XI/2023/CIC/CIE;DUNIA PERAHU - JAKARTA;28-11-2023;08-12-2023;31034;LEM PIPA;"lem PVC glue racer slide, kemasan galon/ dirigen";"1,00";"1,00";500000;"500.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;10 Hari
0132/PO/CD/IX/2023/CIC/CI;FEBI DAMAYANTHI -  JAKARTA;15-09-2023;03-10-2023;30354;SEPATU LAPANGAN;"Warna coklat, tipe: KWD 205CX, Uk 45";"1,00";"1,00";470000;"470.000,00";Finish;0%;FASHION;1 Hari;18 Hari
0132/PO/CD/XI/2023/CIC/CIE;BAKTI PERCETAKAN - JAKARTA;28-11-2023;07-12-2023;31836;STIKER INFORMASI;"Materi: Mohon bayar IPL, bahan Vynil, warna merah";"5000,00";"5000,00";2900;"14.500.000,00";Finish;0%;RUPA - RUPA;1 Hari;9 Hari
0133/PO/CD/IX/2023/CIC/CI;Bina Jaya Computer - Jakarta;21-09-2023;22-09-2023;30636;LASER POINTER;"Jangkauan: up to 30mtr, pointer : sorot & perbesar, baterai: 85mAh, koneksi: bluetooth & 2.4GHz wireless";"1,00";"1,00";1650000;"1.650.000,00";Finish;0%;KOMPUTER;1 Hari;1 Hari
0133/PO/CD/XI/2023/CIC/CIE;UTAMAS - TOKOPEDIA;28-11-2023;;30302;ADAPTOR;adaptor 24 Volt  3 A;"2,00";;65000;"130.000,00";Dalam Proses;0%;ELEKTRONIK LAIN;1 Hari;
0134/PO/CD/IX/2023/CIC/CI;Alvin Azizi - Tangerang;21-09-2023;;31388;SPANDUK;"Sablon, bahan polyester, uk. 8x1,15meter";"50,00";;68000;"3.400.000,00";Dalam Proses;0%;MEDIA INFORMASI;1 Hari;
0134/PO/CD/XI/2023/CIC/CIE;BAKTI PERCETAKAN - JAKARTA;28-11-2023;07-12-2023;31836;STIKER INFORMASI;"Bahan vynil, utk perioede Jan s.d Maret 2024";"7000,00";"7000,00";2000;"14.000.000,00";Finish;0%;RUPA - RUPA;1 Hari;9 Hari
